Task,Best_C,Train_AUC,Val_AUC,Time_Seconds
NR-AR,2,0.9986089402630093,0.7102119784656796,192.70105648040771
NR-AR-LBD,0.03125,0.999983702514273,0.8243799472295515,190.57603192329407
NR-AhR,0.5,0.9996227543679284,0.731776904074319,190.01628303527832
NR-Aromatase,0.03125,0.9993335195558104,0.7276212319790302,237.08106923103333
NR-ER,2,0.9953465238003891,0.6586148648648648,199.3781349658966
NR-ER-LBD,0.5,0.9974770267314381,0.7049174939188745,284.7230348587036
NR-PPAR-gamma,0.0625,0.9998253038867068,0.7155355580552432,261.0875418186188
SR-ARE,0.0625,0.9992451845805599,0.6764237627365356,189.55770444869995
SR-ATAD5,0.0625,0.9994996196485803,0.7394985808893093,186.91214394569397
SR-HSE,0.25,0.9980410726577784,0.6272727272727272,183.68429470062256
SR-MMP,0.0625,0.9996180194349972,0.7069191049913942,193.44284391403198
SR-p53,2,0.9997388695966045,0.6972409152086138,190.55310535430908
