Task,Best_C,Train_AUC,Val_AUC,Time_Seconds
NR-AR,0.25,0.9801210955146131,0.6847240915208613,85.8105959892273
NR-AR-LBD,0.03125,0.9396864363746157,0.7387335092348286,68.89899826049805
NR-AhR,0.5,0.9582820760843351,0.8727949619011168,104.50079441070557
NR-Aromatase,0.03125,0.8662201527724397,0.7645478374836173,98.97561168670654
NR-ER,0.5,0.8991044367104217,0.7629800853485064,135.49630212783813
NR-ER-LBD,0.25,0.9703027087184246,0.8036618236802313,95.64417839050293
NR-PPAR-gamma,0.03125,0.8991541326901511,0.719785026871641,127.40936183929443
SR-ARE,0.25,0.8642511531401356,0.7424945414847162,229.91918635368347
SR-ATAD5,0.125,0.9632134706755289,0.8526490066225165,149.2885308265686
SR-HSE,0.25,0.9544821819976813,0.6929335370511841,172.54346776008606
SR-MMP,1,0.9659947930844007,0.8580550774526678,184.93308854103088
SR-p53,0.5,0.982092030419576,0.8005047106325707,163.93271136283875
